Traj_id,Time_list
45,"[1470037247,1470037262.6666667,1470037272,1470038326.25,1470038421,1470038431,1470038441,1470038461,1470038463,1470038468]"
46,"[1470037218,1470037222,1470037229,1470037260,1470037633,1470037655,1470037869,1470038239,1470038281,1470038469]"
47,"[1470036932,1470037274,1470037284,1470037320,1470037330,1470038283,1470038286,1470038306,1470038341.0,1470038422,1470038432]"
48,"[1470036894.0,1470036944,1470037641,1470037815,1470037826,1470037839,1470037858,1470037911,1470038047,1470038225.5]"
49,"[1470036883,1470036912,1470036942,1470037635,1470037691,1470037824,1470037834,1470037844,1470037854,1470037864,1470038074,1470038184,1470038186]"
50,"[1470037244,1470037254,1470037260.5,1470037281,1470037301,1470037327.0,1470037604,1470037614,1470037664,1470037724.0,1470037774,1470038024,1470038121]"
51,"[1470037245,1470037817,1470037827,1470038293,1470038327,1470038329,1470038334,1470038336,1470038343,1470038351]"
52,"[1470037240,1470037250,1470037254,1470037264,1470037284,1470037294,1470038292,1470038302,1470038312,1470038322,1470038456]"
53,"[1470037227,1470037233.5,1470037238,1470037328,1470038308,1470038423,1470038426,1470038436,1470038459,1470038468,1470038469]"
54,"[1470037212,1470037312,1470037322,1470037669,1470038302,1470038352,1470038426.5,1470038441,1470038451,1470038466.0]"
55,"[1470036944,1470036948,1470037328,1470037638,1470037673.0,1470038347.0,1470038422,1470038447.0,1470038462,1470038472]"
56,"[1470037204,1470037213,1470037234,1470037244,1470037274,1470037284,1470037304,1470037324,1470038238,1470038284,1470038425]"
57,"[1470037225,1470037255,1470037295,1470037305,1470037315,1470037325,1470037778,1470038013,1470038050,1470038130]"
58,"[1470036935,1470037594,1470037614,1470037624,1470037644,1470037654,1470037824,1470037832,1470038099,1470038109,1470038242,1470038249]"
59,"[1470036869,1470036889,1470036919,1470036939,1470036949,1470037288,1470037308,1470037328,1470038316,1470038456]"
60,"[1470035483,1470035986,1470036078,1470036118,1470037198,1470037208,1470037221,1470037236.0,1470037293,1470037303,1470037313,1470037343,1470037453,1470037855,1470037872,1470038006,1470038016,1470038026.5,1470038163]"
61,"[1470036857,1470036918,1470036928,1470036938,1470037277,1470037287,1470037311.0,1470037642,1470037822,1470037832,1470038262,1470038265,1470038283,1470038363]"
62,"[1470037252,1470037255,1470037275,1470037315.0,1470037692,1470038293,1470038305,1470038315,1470038335,1470038413,1470038416,1470038436,1470038472]"
63,"[1470037281,1470037304,1470037613,1470038300,1470038303,1470038318,1470038320,1470038333.5,1470038344,1470038429.0]"
64,"[1470037215,1470037225,1470037255,1470037285,1470037646.0,1470037679,1470037812,1470037852,1470037862,1470038234,1470038435,1470038445]"
65,"[1470036867.0,1470036902,1470036912,1470036922,1470036957.0,1470038292,1470038297,1470038327,1470038331,1470038341,1470038351,1470038431.0]"
66,"[1470034988.0,1470035021,1470035036.0,1470037794.5,1470038018,1470038043,1470038126,1470038136,1470038156,1470038160]"
67,"[1470036844,1470036847,1470036862,1470036949,1470036959,1470036969,1470037653,1470037683,1470037813,1470037833,1470037873]"
68,"[1470037239,1470037259,1470037272,1470037292,1470037322,1470037637,1470037657,1470038322,1470038332,1470038342,1470038362,1470038372]"
