section_id,s_node,e_node,length
238,964,55905,4.337719674
239,55905,963,4.157148295
240,963,962,3.881864398
241,962,37841,2.247295671
242,37841,961,3.104182507
243,961,37839,4.556271063
244,37839,960,3.871761277
245,960,37834,2.880242681
246,37834,396,2.462716368
247,396,2128,2.199159223
248,2128,8355,3.077210491
249,8355,397,3.045097164
250,397,37832,4.31077923
251,37832,14360,5.843864637
252,14360,14361,4.266896058
253,14361,398,4.313110239
254,398,615,6.989352958
255,615,613,6.807355737
256,399,58066,15.95552679
257,58066,617,3.145579743
258,613,614,4.283399448
259,614,37830,10.25466497
260,37830,399,20.89324717
261,58066,58065,2.04424149
262,58065,58064,1.57877153
263,58064,1174,2.41679486
264,1174,621,2.168774416
265,621,400,2.744040372
266,400,2014,3.745299708
267,8976,9662,3.584021859
268,438,626,1.94282896
269,626,439,6.938793596
270,439,51260,3.366670139
271,51260,51263,2.292538694
272,51263,51265,1.5493101
273,51265,440,1.131557959
274,440,51267,2.443696433
275,51267,441,2.808586269
276,441,429,6.564390404
277,429,628,4.298997711
278,628,51269,3.632510225
279,51269,702,2.878946148
280,702,51272,3.469705785
281,51272,51294,2.435643873
282,51294,430,2.73206916
283,430,51285,5.085391089
284,51285,1981,3.626902146
285,1981,431,1.995755743
286,431,66119,0.560629316
287,66119,432,10.46693749
288,432,433,6.166911595
289,433,68504,5.085680223
290,68504,434,5.119096612
291,434,68503,2.419072777
292,68503,435,2.083216425
293,435,630,2.894740613
294,630,436,4.977073247
295,436,437,3.623059534
296,437,69811,3.92803195
297,69811,1127,5.886974855
298,1127,1128,20.89664525
299,1128,1129,18.81650428
300,1129,66127,13.77083842
301,66127,1130,3.567025828
302,1130,66126,7.09461528
303,66126,1131,4.503632107
304,1131,66124,3.918236183
305,66124,1132,5.843755462
306,1132,1133,6.176199646
307,1133,1134,7.429632575
308,1134,1135,8.138400155
309,1135,1136,7.686768291
310,1136,1137,8.476437898
311,1137,1138,8.395264347
312,1138,1139,11.45312032
313,1139,66131,2.598946413
314,66131,1140,3.128522909
315,1140,541,3.802267699
316,626,66107,4.122534928
317,66107,66108,7.671249917
318,66108,69805,1.791043037
319,69805,66109,1.763673118
320,66109,66110,2.630572375
321,66110,66114,1.151969881
322,66114,66111,1.360426844
323,8872,9658,3.651814195
324,9658,632,2.695141279
325,8793,635,3.410060619
326,639,77252,10.48619777
327,77252,231,19.81796239
328,231,232,2.828344506
329,232,233,2.116893842
330,233,234,2.089944553
331,234,235,1.889988562
332,235,236,1.793585763
333,236,237,1.300311629
334,237,238,1.631800897
335,238,239,4.422983846
336,239,240,2.520790728
337,240,33763,2.027792422
338,33763,241,1.289259975
339,241,33769,1.833328604
340,33769,242,1.907403196
341,242,243,2.533162951
342,243,244,4.99612846
343,244,33798,2.244500483
344,33798,640,1.703143519
345,640,245,3.565450933
346,245,33795,4.683569128
347,33795,33793,4.281074832
348,33793,246,2.62915641
349,246,33775,1.222597528
350,33775,33787,1.188712423
351,33787,247,2.446042918
352,247,33778,2.132992442
353,33778,248,1.890622271
354,248,33781,6.808440819
355,33781,16669,9.126706075
356,648,69800,5.67803141
357,69800,122,7.52979001
358,122,123,3.545377828
359,897,53551,5.002665401
360,53551,898,17.71353381
361,898,76096,3.884774704
362,76096,76094,10.50937322
363,76094,70018,3.571323478
364,70018,76095,7.70371259
365,76095,76093,1.350088479
366,76093,76092,4.711212679
367,76092,66235,1.635531461
368,66235,899,5.174620999
369,44064,1758,0.671401557
